date,rating,comment
2026-06-15,4,"ลองนมโอ๊ตคู่กับ House Blend ครั้งแรก กลมกล่อมดีกว่าที่คิดค่ะ"
2026-06-16,2,"แพ้นมวัวค่ะ อยากให้มีตัวเลือกนมถั่วเหลืองชัดเจนในเมนูมากกว่านี้"
2026-06-17,5,"กาแฟ Guatemala หอมมาก ทานคู่กับครัวซองต์เข้ากันสุดๆ"
2026-06-18,5,"กาแฟหอมมาก แต่นมโอ๊ตหมดบ่อยจัง"
2026-06-18,3,"พนักงานน่ารักเป็นกันเองมากค่ะ แต่รอกาแฟนานหน่อยช่วงเช้า"
2026-06-19,3,"อยากให้มีเมนูสดชื่นๆ ที่ไม่ใช่กาแฟนมบ้าง อากาศร้อน"
2026-06-19,4,"House Blend เข้มสะใจดีครับ"
2026-06-19,2,"นมอัลมอนด์หมดอีกแล้ว ทั้งที่ตั้งใจมาสั่งเมนูคุมแคลอรี่"
2026-06-20,5,"บรรยากาศดีมาก อยากกินคู่กับขนมเปรี้ยวๆ หวานๆ"
2026-06-20,5,"ชอบที่ร้านมีนมให้เลือกหลากหลาย เป็นมิตรกับคนแพ้นมวัวจริงๆ"
2026-06-20,1,"Lemon Tart หมดเร็วมาก อยากให้สต็อกเพิ่มช่วงบ่าย"
