date,category,item,qty_sold,revenue
2026-05-05,Coffee,House Blend (Dark),120,7200
2026-05-08,Milk,Oat Milk Latte,85,5950
2026-05-12,Coffee,Ethiopia Yirgacheffe,60,4200
2026-05-15,Milk,Almond Milk Latte,40,2800
2026-05-20,Bakery,Croissant,70,3500
2026-05-26,Milk,Soy Milk Latte,55,3850
2026-06-02,Coffee,House Blend (Dark),135,8100
2026-06-06,Milk,Oat Milk Latte,90,6300
2026-06-10,Coffee,Signature Nutty-Choco Blend,75,5250
2026-06-14,Milk,Almond Milk Latte,30,2100
2026-06-17,Bakery,Lemon Tart,45,2700
2026-06-19,Milk,Soy Milk Latte,60,4200
